src_node_id,dst_node_id,src_sub_out_degree,dst_sub_in_degree,src_full_out_degree,dst_full_in_degree,src_positive_touch_count,dst_positive_touch_count,is_self_loop
575,326582,240,14,1286,57,3,1,0
575,104244,240,7,1286,74,3,1,0
575,874492,240,25,1286,1041,3,2,0
575,586704,240,51,1286,1699,3,3,0
575,392175,240,40,1286,1483,3,1,0
575,46274,240,16,1286,119,3,1,0
575,642520,240,9,1286,75,3,1,0
575,926775,240,108,1286,406,3,1,0
575,1246839,240,9,1286,67,3,1,0
575,258740,240,197,1286,715,3,1,0
575,813051,240,20,1286,104,3,2,0
575,1190225,240,19,1286,23,3,2,0
575,812095,240,4,1286,4,3,2,0
575,205237,240,12,1286,54,3,1,0
575,919911,240,20,1286,128,3,1,0
575,623735,240,78,1286,362,3,2,0
575,51067,240,37,1286,160,3,1,0
575,203962,240,64,1286,298,3,1,0
575,997310,240,74,1286,216,3,1,0
575,569907,240,10,1286,53,3,1,0
575,554332,240,80,1286,304,3,2,0
575,134835,240,91,1286,318,3,1,0
575,1043739,240,64,1286,197,3,1,0
575,258418,240,28,1286,69,3,1,0
575,335661,240,26,1286,85,3,2,0
575,515034,240,48,1286,143,3,2,0
575,888249,240,27,1286,85,3,1,0
575,77524,240,33,1286,121,3,1,0
575,875148,240,103,1286,113,3,0,0
575,543364,240,80,1286,362,3,1,0
575,426535,240,80,1286,252,3,1,0
575,702778,240,21,1286,82,3,1,0
575,846415,240,199,1286,754,3,3,0
575,1090962,240,175,1286,604,3,2,0
575,714145,240,133,1286,389,3,2,0
575,448978,240,113,1286,490,3,4,0
575,69148,240,151,1286,506,3,2,0
575,878199,240,323,1286,1193,3,3,0
575,829367,240,38,1286,128,3,2,0
575,1039748,240,33,1286,92,3,1,0
575,1145606,240,353,1286,1435,3,2,0
575,911060,240,12,1286,34,3,1,0
575,464646,240,36,1286,155,3,1,0
575,780874,240,31,1286,150,3,1,0
575,857034,240,47,1286,158,3,2,0
575,1073625,240,138,1286,415,3,1,0
575,565810,240,190,1286,733,3,1,0
575,49885,240,95,1286,368,3,2,0
575,1009422,240,56,1286,182,3,4,0
575,265979,240,58,1286,198,3,1,0
575,606117,240,91,1286,327,3,1,0
575,1121593,240,15,1286,42,3,1,0
575,738005,240,45,1286,161,3,1,0
575,737336,240,97,1286,290,3,1,0
575,980821,240,42,1286,165,3,1,0
575,661046,240,46,1286,112,3,1,0
575,99399,240,89,1286,335,3,1,0
575,496541,240,102,1286,618,3,1,0
575,890857,240,28,1286,101,3,1,0
575,29933,240,188,1286,589,3,1,0
575,997396,240,46,1286,177,3,1,0
575,1163507,240,11,1286,39,3,1,0
575,1180711,240,430,1286,1681,3,2,0
575,848099,240,47,1286,147,3,2,0
575,165438,240,12,1286,40,3,1,0
575,681198,240,22,1286,78,3,1,0
575,503021,240,11,1286,39,3,2,0
575,828293,240,148,1286,486,3,2,0
575,296462,240,65,1286,226,3,1,0
575,401519,240,77,1286,274,3,1,0
575,1239927,240,117,1286,406,3,3,0
575,509266,240,20,1286,59,3,1,0
575,396535,240,52,1286,113,3,1,0
575,107148,240,54,1286,170,3,1,0
575,882411,240,207,1286,644,3,5,0
575,983567,240,53,1286,228,3,1,0
575,1220065,240,74,1286,220,3,1,0
575,1072000,240,234,1286,749,3,1,0
575,785479,240,108,1286,281,3,1,0
575,301600,240,82,1286,281,3,1,0
575,843375,240,44,1286,140,3,1,0
575,431083,240,50,1286,151,3,1,0
575,1036348,240,39,1286,111,3,1,0
575,425966,240,53,1286,193,3,1,0
575,185213,240,28,1286,83,3,1,0
575,220394,240,111,1286,450,3,1,0
575,399905,240,56,1286,140,3,1,0
575,424581,240,77,1286,266,3,1,0
575,667384,240,123,1286,453,3,1,0
575,115424,240,84,1286,262,3,1,0
575,1153538,240,77,1286,252,3,1,0
575,872259,240,93,1286,322,3,1,0
575,288888,240,10,1286,37,3,1,0
575,901244,240,114,1286,401,3,3,0
575,402991,240,220,1286,779,3,1,0
575,320534,240,77,1286,268,3,1,0
575,471474,240,279,1286,1090,3,1,0
575,6345,240,255,1286,845,3,2,0
575,485904,240,23,1286,81,3,1,0
575,433505,240,98,1286,303,3,2,0
575,473092,240,160,1286,517,3,1,0
575,150597,240,142,1286,470,3,3,0
575,27145,240,110,1286,356,3,3,0
575,420708,240,218,1286,880,3,1,0
575,248741,240,70,1286,273,3,1,0
575,986651,240,33,1286,124,3,1,0
575,627847,240,79,1286,269,3,1,0
575,226390,240,36,1286,98,3,1,0
575,275822,240,90,1286,271,3,1,0
575,18,240,1183,1286,12119,3,12,0
575,1089958,240,61,1286,145,3,1,0
575,1267356,240,99,1286,427,3,2,0
575,260662,240,71,1286,289,3,1,0
575,975572,240,380,1286,1330,3,2,0
575,130055,240,52,1286,168,3,3,0
575,338705,240,37,1286,127,3,1,0
575,666881,240,141,1286,407,3,1,0
575,374013,240,67,1286,193,3,1,0
575,483815,240,78,1286,247,3,2,0
575,677789,240,58,1286,276,3,1,0
575,497882,240,248,1286,779,3,1,0
575,498910,240,21,1286,80,3,2,0
575,800789,240,76,1286,229,3,1,0
575,639454,240,38,1286,101,3,1,0
575,169256,240,51,1286,133,3,1,0
575,966392,240,36,1286,126,3,1,0
575,532999,240,47,1286,164,3,1,0
575,884199,240,23,1286,92,3,1,0
575,633674,240,42,1286,127,3,1,0
575,257464,240,64,1286,239,3,1,0
575,1246994,240,26,1286,85,3,1,0
575,685034,240,58,1286,192,3,2,0
575,181237,240,39,1286,106,3,1,0
575,666424,240,4,1286,24,3,4,0
575,399626,240,11,1286,32,3,1,0
575,103614,240,34,1286,119,3,1,0
575,509743,240,164,1286,618,3,1,0
575,1070573,240,12,1286,37,3,1,0
575,418350,240,167,1286,629,3,2,0
